motif_id	tf_name	tf_class	tf_family	tf_subfamily
FOXO4_HUMAN.H11MO.0.C	FOXO4	forkhead/winged helix factors	forkhead box (FOX) factors	FOXO
FOXP1_HUMAN.H11MO.0.A	FOXP1	forkhead/winged helix factors	forkhead box (FOX) factors	FOXP
M08115_2.00	FOXP1	forkhead/winged helix factors	forkhead box (FOX) factors	FOXP
MA0481.3	FOXP1	forkhead/winged helix factors	forkhead box (FOX) factors	FOXP
FOXP2_HUMAN.H11MO.0.C	FOXP2	forkhead/winged helix factors	forkhead box (FOX) factors	FOXP
M08116_2.00	FOXP2	forkhead/winged helix factors	forkhead box (FOX) factors	FOXP
MA0593.1	FOXP2	forkhead/winged helix factors	forkhead box (FOX) factors	FOXP
FOXQ1_HUMAN.H11MO.0.C	FOXQ1	forkhead/winged helix factors	forkhead box (FOX) factors	FOXQ
GABPA_HUMAN.H11MO.0.A	GABPA	tryptophan cluster factors	Ets-related factors	Ets-like factors
M07952_2.00	GABPA	tryptophan cluster factors	Ets-related factors	Ets-like factors
M07953_2.00	GABPA	tryptophan cluster factors	Ets-related factors	Ets-like factors
M07954_2.00	GABPA	tryptophan cluster factors	Ets-related factors	Ets-like factors
M07955_2.00	GABPA	tryptophan cluster factors	Ets-related factors	Ets-like factors
M07956_2.00	GABPA	tryptophan cluster factors	Ets-related factors	Ets-like factors
MA0062.3	GABPA	tryptophan cluster factors	Ets-related factors	Ets-like factors
GATA1_HUMAN.H11MO.0.A	GATA1	other C4 zinc finger-type factors	GATA-type zinc fingers	two zinc-finger GATA factors
M07963_2.00	GATA1	other C4 zinc finger-type factors	GATA-type zinc fingers	two zinc-finger GATA factors
M07964_2.00	GATA1	other C4 zinc finger-type factors	GATA-type zinc fingers	two zinc-finger GATA factors
M08202_2.00	GATA1	other C4 zinc finger-type factors	GATA-type zinc fingers	two zinc-finger GATA factors
M08203_2.00	GATA1	other C4 zinc finger-type factors	GATA-type zinc fingers	two zinc-finger GATA factors
MA0035.4	GATA1	other C4 zinc finger-type factors	GATA-type zinc fingers	two zinc-finger GATA factors
MA0140.2	GATA1::TAL1	other C4 zinc finger-type factors	GATA-type zinc fingers	two zinc-finger GATA factors
GATA2_HUMAN.H11MO.0.A	GATA2	other C4 zinc finger-type factors	GATA-type zinc fingers	two zinc-finger GATA factors
M07966_2.00	GATA2	other C4 zinc finger-type factors	GATA-type zinc fingers	two zinc-finger GATA factors
M07967_2.00	GATA2	other C4 zinc finger-type factors	GATA-type zinc fingers	two zinc-finger GATA factors
M07968_2.00	GATA2	other C4 zinc finger-type factors	GATA-type zinc fingers	two zinc-finger GATA factors
M07969_2.00	GATA2	other C4 zinc finger-type factors	GATA-type zinc fingers	two zinc-finger GATA factors
M07970_2.00	GATA2	other C4 zinc finger-type factors	GATA-type zinc fingers	two zinc-finger GATA factors
M08125_2.00	GATA2	other C4 zinc finger-type factors	GATA-type zinc fingers	two zinc-finger GATA factors
MA0036.3	GATA2	other C4 zinc finger-type factors	GATA-type zinc fingers	two zinc-finger GATA factors
GATA3_HUMAN.H11MO.0.A	GATA3	other C4 zinc finger-type factors	GATA-type zinc fingers	two zinc-finger GATA factors
M07965_2.00	GATA3	other C4 zinc finger-type factors	GATA-type zinc fingers	two zinc-finger GATA factors
GATA4_HUMAN.H11MO.0.A	GATA4	other C4 zinc finger-type factors	GATA-type zinc fingers	two zinc-finger GATA factors
MA0482.2	GATA4	other C4 zinc finger-type factors	GATA-type zinc fingers	two zinc-finger GATA factors
GATA6_HUMAN.H11MO.0.A	GATA6	other C4 zinc finger-type factors	GATA-type zinc fingers	two zinc-finger GATA factors
M08124_2.00	GATA6	other C4 zinc finger-type factors	GATA-type zinc fingers	two zinc-finger GATA factors
MA1104.2	GATA6	other C4 zinc finger-type factors	GATA-type zinc fingers	two zinc-finger GATA factors
GCR_HUMAN.H11MO.0.A	GCR	nuclear receptors with C4 zinc fingers	steroid hormone receptors (NR3)	GR-like receptors (NR3C)
GFI1_HUMAN.H11MO.0.C	GFI1	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	GFI1 factors
GFI1B_HUMAN.H11MO.0.A	GFI1B	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	GFI1 factors
GLI3_HUMAN.H11MO.0.B	GLI3	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	GLI-like factors
M08394_2.00	GLI4	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	ZNF24-like factors
M08345_2.00	GLIS1	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	GLI-like factors
GRHL2_HUMAN.H11MO.0.A	GRHL2	Grainyhead domain factors	Grainyhead-related factors	GRH-like proteins
M08129_2.00	GRHL2	Grainyhead domain factors	Grainyhead-related factors	GRH-like proteins
MA1105.2	GRHL2	Grainyhead domain factors	Grainyhead-related factors	GRH-like proteins
M08301_2.00	GTF3A	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	unclassified
MA1638.1	HAND2	basic helix-loop-helix (bHLH) factors	Tal-related factors	Twist-like factors
HEN1_HUMAN.H11MO.0.C	HEN1	basic helix-loop-helix (bHLH) factors	Tal-related factors	Tal/HEN-like factors
HIC1_HUMAN.H11MO.0.C	HIC1	C2H2 zinc finger factors	factors with multiple dispersed zinc fingers	hypermethylated in cancer proteins
HIF1A_HUMAN.H11MO.0.C	HIF1A	basic helix-loop-helix (bHLH)	PAS domain factors	Ahr-like factors
M08049_2.00	HIF1A	basic helix-loop-helix (bHLH)	PAS domain factors	Ahr-like factors
MA1106.1	HIF1A	basic helix-loop-helix (bHLH)	PAS domain factors	Ahr-like factors
HINFP_HUMAN.H11MO.0.C	HINFP	C2H2 zinc finger factors	factors with multiple dispersed zinc fingers	HINFP-like factors
M07662_2.00	HKR1	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	ZNF343-like factors
HLF_HUMAN.H11MO.0.C	HLF	basic leucine zipper (bZIP) factors	C/EBP-related	PAR factors
MA0043.3	HLF	basic leucine zipper (bZIP) factors	C/EBP-related	PAR factors
HNF1A_HUMAN.H11MO.0.C	HNF1A	homeo domain factors	POU domain factors	HNF1-like factors
HNF1B_HUMAN.H11MO.0.A	HNF1B	homeo domain factors	POU domain factors	HNF1-like factors
HNF4A_HUMAN.H11MO.0.A	HNF4A	nuclear receptors with C4 zinc fingers	RXR-related receptors (NR2)	HNF-4 (NR2A)
M08219_2.00	HNF4A	nuclear receptors with C4 zinc fingers	RXR-related receptors (NR2)	HNF-4 (NR2A)
M08220_2.00	HNF4A	nuclear receptors with C4 zinc fingers	RXR-related receptors (NR2)	HNF-4 (NR2A)
MA0114.4	HNF4A	nuclear receptors with C4 zinc fingers	RXR-related receptors (NR2)	HNF-4 (NR2A)
HNF4G_HUMAN.H11MO.0.B	HNF4G	nuclear receptors with C4 zinc fingers	RXR-related receptors (NR2)	HNF-4 (NR2A)
M08155_2.00	HNF4G	nuclear receptors with C4 zinc fingers	RXR-related receptors (NR2)	HNF-4 (NR2A)
MA0484.2	HNF4G	nuclear receptors with C4 zinc fingers	RXR-related receptors (NR2)	HNF-4 (NR2A)
HNF6_HUMAN.H11MO.0.B	HNF6	homeo domain factors	HD-CUT factors	ONECUT
MA0901.2	HOXB13	homeo domain factors	HOX-related factors	HOX9-13
HSF1_HUMAN.H11MO.0.A	HSF1	heat shock factors	HSF factors	NA
M07977_2.00	HSF1	heat shock factors	HSF factors	NA
HSF2_HUMAN.H11MO.0.A	HSF2	heat shock factors	HSF factors	NA
HTF4_HUMAN.H11MO.0.A	HTF4	basic helix-loop-helix factors (bHLH)	E2A-related factors	NA
HXA1_HUMAN.H11MO.0.C	HXA1	homeo domain factors	HOX-related factors	HOX1
HXA10_HUMAN.H11MO.0.C	HXA10	homeo domain factors	HOX-related factors	HOX9-13
HXA13_HUMAN.H11MO.0.C	HXA13	homeo domain factors	HOX-related factors	HOX9-13
HXA9_HUMAN.H11MO.0.B	HXA9	homeo domain factors	HOX-related factors	HOX9-13
HXB13_HUMAN.H11MO.0.A	HXB13	homeo domain factors	HOX-related factors	HOX9-13
HXB4_HUMAN.H11MO.0.B	HXB4	homeo domain factors	HOX-related factors	HOX4
HXB7_HUMAN.H11MO.0.C	HXB7	homeo domain factors	HOX-related factors	HOX6-7
HXB8_HUMAN.H11MO.0.C	HXB8	homeo domain factors	HOX-related factors	HOX8
HXC9_HUMAN.H11MO.0.C	HXC9	homeo domain factors	HOX-related factors	HOX9-13
IKZF1_HUMAN.H11MO.0.C	IKZF1	C2H2 zinc finger factors	factors with multiple dispersed zinc fingers	Ikaros
MA1508.1	IKZF1	C2H2 zinc finger factors	factors with multiple dispersed zinc fingers	Ikaros
M08320_2.00	IKZF3	C2H2 zinc finger factors	factors with multiple dispersed zinc fingers	Ikaros
INSM1_HUMAN.H11MO.0.C	INSM1	C2H2 zinc finger factors	factors with multiple dispersed zinc fingers	insulinoma-associated proteins
IRF1_HUMAN.H11MO.0.A	IRF1	tryptophan cluster factors	interferon-regulatory factors	NA
M08142_2.00	IRF1	tryptophan cluster factors	interferon-regulatory factors	NA
IRF2_HUMAN.H11MO.0.A	IRF2	tryptophan cluster factors	interferon-regulatory factors	NA
IRF3_HUMAN.H11MO.0.B	IRF3	tryptophan cluster factors	interferon-regulatory factors	NA
IRF4_HUMAN.H11MO.0.A	IRF4	tryptophan cluster factors	interferon-regulatory factors	NA
M07978_2.00	IRF4	tryptophan cluster factors	interferon-regulatory factors	NA
IRF7_HUMAN.H11MO.0.C	IRF7	tryptophan cluster factors	interferon-regulatory factors	NA
IRF8_HUMAN.H11MO.0.B	IRF8	tryptophan cluster factors	interferon-regulatory factors	NA
IRF9_HUMAN.H11MO.0.C	IRF9	tryptophan cluster factors	interferon-regulatory factors	NA
ISL1_HUMAN.H11MO.0.A	ISL1	homeo domain factors		HD-LIM factors	ISL
ITF2_HUMAN.H11MO.0.C	ITF2	basic helix-loop-helix factors (bHLH)	E2A-related factors	NA
JUN_HUMAN.H11MO.0.A	JUN	basic leucine zipper (bZIP) factors	Jun-related factors	Jun factors
M07834_2.00	JUN	basic leucine zipper (bZIP) factors	Jun-related factors	Jun factors
M07835_2.00	JUN	basic leucine zipper (bZIP) factors	Jun-related factors	Jun factors
M07836_2.00	JUN	basic leucine zipper (bZIP) factors	Jun-related factors	Jun factors
M07837_2.00	JUN	basic leucine zipper (bZIP) factors	Jun-related factors	Jun factors
M07838_2.00	JUN	basic leucine zipper (bZIP) factors	Jun-related factors	Jun factors
M08072_2.00	JUN	basic leucine zipper (bZIP) factors	Jun-related factors	Jun factors
M08073_2.00	JUN	basic leucine zipper (bZIP) factors	Jun-related factors	Jun factors
MA0488.1	JUN	basic leucine zipper (bZIP) factors	Jun-related factors	Jun factors
JUNB_HUMAN.H11MO.0.A	JUNB	basic leucine zipper (bZIP) factors	Jun-related factors	Jun factors
M07829_2.00	JUNB	basic leucine zipper (bZIP) factors	Jun-related factors	Jun factors
M08070_2.00	JUNB	basic leucine zipper (bZIP) factors	Jun-related factors	Jun factors
MA0490.2	JUNB	basic leucine zipper (bZIP) factors	Jun-related factors	Jun factors
JUND_HUMAN.H11MO.0.A	JUND	basic leucine zipper (bZIP) factors	Jun-related factors	Jun factors
M07814_2.00	JUND	basic leucine zipper (bZIP) factors	Jun-related factors	Jun factors
M07815_2.00	JUND	basic leucine zipper (bZIP) factors	Jun-related factors	Jun factors
M07816_2.00	JUND	basic leucine zipper (bZIP) factors	Jun-related factors	Jun factors
M07817_2.00	JUND	basic leucine zipper (bZIP) factors	Jun-related factors	Jun factors
M07818_2.00	JUND	basic leucine zipper (bZIP) factors	Jun-related factors	Jun factors
M07819_2.00	JUND	basic leucine zipper (bZIP) factors	Jun-related factors	Jun factors
M07820_2.00	JUND	basic leucine zipper (bZIP) factors	Jun-related factors	Jun factors
M08067_2.00	JUND	basic leucine zipper (bZIP) factors	Jun-related factors	Jun factors
M08068_2.00	JUND	basic leucine zipper (bZIP) factors	Jun-related factors	Jun factors
MA0491.2	JUND	basic leucine zipper (bZIP) factors	Jun-related factors	Jun factors
MA0492.1	JUND	basic leucine zipper (bZIP) factors	Jun-related factors	Jun factors
KAISO_HUMAN.H11MO.0.A	KAISO	C2H2 zinc finger factors	other factors with up to three adjacent zinc fingers	factors with 2-3 adjacent zinc fingers and a BTB/POZ domain
KLF1_HUMAN.H11MO.0.A	KLF1	C2H2 zinc finger factors	three-zinc finger Krüppel-related factors	Krüppel-like factors
M08293_2.00	KLF1	C2H2 zinc finger factors	three-zinc finger Krüppel-related factors	Krüppel-like factors
MA0493.2	KLF1	C2H2 zinc finger factors	three-zinc finger Krüppel-related factors	Krüppel-like factors
M08246_2.00	KLF10	C2H2 zinc finger factors	three-zinc finger Krüppel-related factors	Krüppel-like factors
M08317_2.00	KLF10	C2H2 zinc finger factors	three-zinc finger Krüppel-related factors	Krüppel-like factors
MA1511.2	KLF10	C2H2 zinc finger factors	three-zinc finger Krüppel-related factors	Krüppel-like factors
KLF12_HUMAN.H11MO.0.C	KLF12	C2H2 zinc finger factors	three-zinc finger Krüppel-related factors	Krüppel-like factors
M08299_2.00	KLF12	C2H2 zinc finger factors	three-zinc finger Krüppel-related factors	Krüppel-like factors
MA0742.2	KLF12	C2H2 zinc finger factors	three-zinc finger Krüppel-related factors	Krüppel-like factors
M08398_2.00	KLF14	C2H2 zinc finger factors	three-zinc finger Krüppel-related factors	Krüppel-like factors
MA0740.2	KLF14	C2H2 zinc finger factors	three-zinc finger Krüppel-related factors	Krüppel-like factors
KLF15_HUMAN.H11MO.0.A	KLF15	C2H2 zinc finger factors	three-zinc finger Krüppel-related factors	Krüppel-like factors
M08323_2.00	KLF15	C2H2 zinc finger factors	three-zinc finger Krüppel-related factors	Krüppel-like factors
MA1513.1	KLF15	C2H2 zinc finger factors	three-zinc finger Krüppel-related factors	Krüppel-like factors
KLF3_HUMAN.H11MO.0.B	KLF3	C2H2 zinc finger factors	three-zinc finger Krüppel-related factors	Krüppel-like factors
KLF4_HUMAN.H11MO.0.A	KLF4	C2H2 zinc finger factors	three-zinc finger Krüppel-related factors	Krüppel-like factors
M08091_2.00	KLF4	C2H2 zinc finger factors	three-zinc finger Krüppel-related factors	Krüppel-like factors
M08243_2.00	KLF4	C2H2 zinc finger factors	three-zinc finger Krüppel-related factors	Krüppel-like factors
MA0039.4	KLF4	C2H2 zinc finger factors	three-zinc finger Krüppel-related factors	Krüppel-like factors
KLF5_HUMAN.H11MO.0.A	KLF5	C2H2 zinc finger factors	three-zinc finger Krüppel-related factors	Krüppel-like factors
M08086_2.00	KLF5	C2H2 zinc finger factors	three-zinc finger Krüppel-related factors	Krüppel-like factors
MA0599.1	KLF5	C2H2 zinc finger factors	three-zinc finger Krüppel-related factors	Krüppel-like factors
KLF6_HUMAN.H11MO.0.A	KLF6	C2H2 zinc finger factors	three-zinc finger Krüppel-related factors	Krüppel-like factors
M08298_2.00	KLF7	C2H2 zinc finger factors	three-zinc finger Krüppel-related factors	Krüppel-like factors
MA1959.1	KLF7	C2H2 zinc finger factors	three-zinc finger Krüppel-related factors	Krüppel-like factors
KLF8_HUMAN.H11MO.0.C	KLF8	C2H2 zinc finger factors	three-zinc finger Krüppel-related factors	Krüppel-like factors
KLF9_HUMAN.H11MO.0.C	KLF9	C2H2 zinc finger factors	three-zinc finger Krüppel-related factors	Krüppel-like factors
M08088_2.00	KLF9	C2H2 zinc finger factors	three-zinc finger Krüppel-related factors	Krüppel-like factors
MA1107.2	KLF9	C2H2 zinc finger factors	three-zinc finger Krüppel-related factors	Krüppel-like factors
LEF1_HUMAN.H11MO.0.A	LEF1	high-mobility group (HMG) domain factors	TCF-7-related factors	NA
LHX2_HUMAN.H11MO.0.A	LHX2	homeo domain factors		HD-LIM factors	Lhx-2-like factors
MA0700.2	LHX2	homeo domain factors		HD-LIM factors	Lhx-2-like factors
LHX3_HUMAN.H11MO.0.C	LHX3	homeo domain factors		HD-LIM factors	Lhx-3-like factors
LYL1_HUMAN.H11MO.0.A	LYL1	basic helix-loop-helix (bHLH) factors	Tal-related factors	Tal/HEN-like factors
MAF_HUMAN.H11MO.0.A	MAF	basic leucine zipper factors (bZIP)	Maf-related factors	large Maf factors
MA0501.1	MAF::NFE2	basic leucine zipper factors (bZIP)	Maf-related factors	large Maf factors
MAFB_HUMAN.H11MO.0.B	MAFB	basic leucine zipper factors (bZIP)	Maf-related factors	large Maf factors
M07839_2.00	MAFF	basic leucine zipper factors (bZIP)	Maf-related factors	small Maf factors
M08074_2.00	MAFF	basic leucine zipper factors (bZIP)	Maf-related factors	small Maf factors
MA0495.3	MAFF	basic leucine zipper factors (bZIP)	Maf-related factors	small Maf factors
MAFF_HUMAN.H11MO.0.B	MAFF	basic leucine zipper factors (bZIP)	Maf-related factors	small Maf factors
MAFG_HUMAN.H11MO.0.A	MAFG	basic leucine zipper factors (bZIP)	Maf-related factors	small Maf factors
MA0089.2	MAFG::NFE2L1	basic leucine zipper factors (bZIP)	Maf-related factors	small Maf factors
M07840_2.00	MAFK	basic leucine zipper factors (bZIP)	Maf-related factors	small Maf factors
M07841_2.00	MAFK	basic leucine zipper factors (bZIP)	Maf-related factors	small Maf factors
M08075_2.00	MAFK	basic leucine zipper factors (bZIP)	Maf-related factors	small Maf factors
MA0496.3	MAFK	basic leucine zipper factors (bZIP)	Maf-related factors	small Maf factors
MAFK_HUMAN.H11MO.0.A	MAFK	basic leucine zipper factors (bZIP)	Maf-related factors	small Maf factors
M07791_2.00	MAX	basic helix-loop-helix factors (bHLH)	bHLH-ZIP factors	Myc/Max factors
M07792_2.00	MAX	basic helix-loop-helix factors (bHLH)	bHLH-ZIP factors	Myc/Max factors
M07793_2.00	MAX	basic helix-loop-helix factors (bHLH)	bHLH-ZIP factors	Myc/Max factors
M07794_2.00	MAX	basic helix-loop-helix factors (bHLH)	bHLH-ZIP factors	Myc/Max factors
M07795_2.00	MAX	basic helix-loop-helix factors (bHLH)	bHLH-ZIP factors	Myc/Max factors
M07796_2.00	MAX	basic helix-loop-helix factors (bHLH)	bHLH-ZIP factors	Myc/Max factors
M07797_2.00	MAX	basic helix-loop-helix factors (bHLH)	bHLH-ZIP factors	Myc/Max factors
MAX_HUMAN.H11MO.0.A	MAX	basic helix-loop-helix factors (bHLH)	bHLH-ZIP factors	Myc/Max factors
M08290_2.00	MAZ	C2H2 zinc finger factors	factors with multiple dispersed zinc fingers	MAZ-like factors
MA1522.1	MAZ	C2H2 zinc finger factors	factors with multiple dispersed zinc fingers	MAZ-like factors
MAZ_HUMAN.H11MO.0.A	MAZ	C2H2 zinc finger factors	factors with multiple dispersed zinc fingers	MAZ-like factors
MBD2_HUMAN.H11MO.0.B	MBD2	NA	NA	NA
MECP2_HUMAN.H11MO.0.C	MECP2	NA	NA	NA
M07979_2.00	MEF2A	MADS box factors	regulators of differentiation	MEF-2
M08212_2.00	MEF2A	MADS box factors	regulators of differentiation	MEF-2
M08213_2.00	MEF2A	MADS box factors	regulators of differentiation	MEF-2
MA0052.4	MEF2A	MADS box factors	regulators of differentiation	MEF-2
MEF2A_HUMAN.H11MO.0.A	MEF2A	MADS box factors	regulators of differentiation	MEF-2
MEF2B_HUMAN.H11MO.0.A	MEF2B	MADS box factors	regulators of differentiation	MEF-2
M07980_2.00	MEF2C	MADS box factors	regulators of differentiation	MEF-2
M08149_2.00	MEF2C	MADS box factors	regulators of differentiation	MEF-2
MA0497.1	MEF2C	MADS box factors	regulators of differentiation	MEF-2
MEF2C_HUMAN.H11MO.0.A	MEF2C	MADS box factors	regulators of differentiation	MEF-2
MEF2D_HUMAN.H11MO.0.A	MEF2D	MADS box factors	regulators of differentiation	MEF-2
MA1639.1	MEIS1	homeo domain factors	TALE-type homeo domain factors	MEIS
MEIS1_HUMAN.H11MO.0.A	MEIS1	homeo domain factors	TALE-type homeo domain factors	MEIS
MA1640.1	MEIS2	homeo domain factors	TALE-type homeo domain factors	MEIS
MEIS2_HUMAN.H11MO.0.B	MEIS2	homeo domain factors	TALE-type homeo domain factors	MEIS
M08058_2.00	MITF	basic helix-loop-helix factors (bHLH)	bHLH-ZIP factors	TFE3-like factors
MA0620.3	MITF	basic helix-loop-helix factors (bHLH)	bHLH-ZIP factors	TFE3-like factors
MITF_HUMAN.H11MO.0.A	MITF	basic helix-loop-helix factors (bHLH)	bHLH-ZIP factors	TFE3-like factors
MTF1_HUMAN.H11MO.0.C	MTF1	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	MTF1-like factors
M07790_2.00	MXI1	basic helix-loop-helix factors (bHLH)	bHLH-ZIP factors	Mad1-like factors
M08051_2.00	MXI1	basic helix-loop-helix factors (bHLH)	bHLH-ZIP factors	Mad1-like factors
M08181_2.00	MXI1	basic helix-loop-helix factors (bHLH)	bHLH-ZIP factors	Mad1-like factors
M08182_2.00	MXI1	basic helix-loop-helix factors (bHLH)	bHLH-ZIP factors	Mad1-like factors
MA1108.2	MXI1	basic helix-loop-helix factors (bHLH)	bHLH-ZIP factors	Mad1-like factors
MXI1_HUMAN.H11MO.0.A	MXI1	basic helix-loop-helix factors (bHLH)	bHLH-ZIP factors	Mad1-like factors
M08150_2.00	MYB	tryptophan cluster factors	Myb/SANT domain factors	Myb-like factors
MA0100.3	MYB	tryptophan cluster factors	Myb/SANT domain factors	Myb-like factors
MYB_HUMAN.H11MO.0.A	MYB	tryptophan cluster factors	Myb/SANT domain factors	Myb-like factors
M07799_2.00	MYC	basic helix-loop-helix factors (bHLH)	bHLH-ZIP factors	Myc/Max factors
M07800_2.00	MYC	basic helix-loop-helix factors (bHLH)	bHLH-ZIP factors	Myc/Max factors
M07801_2.00	MYC	basic helix-loop-helix factors (bHLH)	bHLH-ZIP factors	Myc/Max factors
M07802_2.00	MYC	basic helix-loop-helix factors (bHLH)	bHLH-ZIP factors	Myc/Max factors
M07803_2.00	MYC	basic helix-loop-helix factors (bHLH)	bHLH-ZIP factors	Myc/Max factors
M07804_2.00	MYC	basic helix-loop-helix factors (bHLH)	bHLH-ZIP factors	Myc/Max factors
M08054_2.00	MYC	basic helix-loop-helix factors (bHLH)	bHLH-ZIP factors	Myc/Max factors
MA0147.3	MYC	basic helix-loop-helix factors (bHLH)	bHLH-ZIP factors	Myc/Max factors
MYC_HUMAN.H11MO.0.A	MYC	basic helix-loop-helix factors (bHLH)	bHLH-ZIP factors	Myc/Max factors
M08053_2.00	MYCN	basic helix-loop-helix factors (bHLH)	bHLH-ZIP factors	Myc/Max factors
MA0104.4	MYCN	basic helix-loop-helix factors (bHLH)	bHLH-ZIP factors	Myc/Max factors
MYCN_HUMAN.H11MO.0.A	MYCN	basic helix-loop-helix factors (bHLH)	bHLH-ZIP factors	Myc/Max factors
MA1641.1	MYF5	basic helix-loop-helix factors (bHLH)	MyoD/ASC-related factors	myogenic transcription factors
MYF6_HUMAN.H11MO.0.C	MYF6	basic helix-loop-helix factors (bHLH)	MyoD/ASC-related factors	myogenic transcription factors
M08283_2.00	MYNN	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	unclassified
MA0499.2	MYOD1	basic helix-loop-helix factors (bHLH)	MyoD/ASC-related factors	myogenic transcription factors
MYOD1_HUMAN.H11MO.0.A	MYOD1	basic helix-loop-helix factors (bHLH)	MyoD/ASC-related factors	myogenic transcription factors
MA0500.2	MYOG	basic helix-loop-helix factors (bHLH)	MyoD/ASC-related factors	myogenic transcription factors
MYOG_HUMAN.H11MO.0.B	MYOG	basic helix-loop-helix factors (bHLH)	MyoD/ASC-related factors	myogenic transcription factors
M08236_2.00	MZF1	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	unclassified
M08286_2.00	MZF1	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	unclassified
MA0056.2	MZF1	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	unclassified
MZF1_HUMAN.H11MO.0.B	MZF1	C2H2 zinc finger factors	more than 3 adjacent zinc finger factors	unclassified
NANOG_HUMAN.H11MO.0.A	NANOG	homeo domain factors	NK-related factors	NANOG
NDF1_HUMAN.H11MO.0.A	NDF1	basic helix-loop-helix (bHLH) factors	Tal-related factors	Neurogenin/Atonal-like factors
NDF2_HUMAN.H11MO.0.B	NDF2	basic helix-loop-helix (bHLH) factors	Tal-related factors	Neurogenin/Atonal-like factors
M08057_2.00	NEUROD1	basic helix-loop-helix (bHLH) factors	Tal-related factors	Neurogenin/Atonal-like factors
MA1109.1	NEUROD1	basic helix-loop-helix (bHLH) factors	Tal-related factors	Neurogenin/Atonal-like factors
MA1642.1	NEUROG2	basic helix-loop-helix (bHLH) factors	Tal-related factors	Neurogenin/Atonal-like factors
NF2L1_HUMAN.H11MO.0.C	NF2L1	basic leucine zipper (bZIP) factors	Jun-related factors	NF-E2-like factors
NF2L2_HUMAN.H11MO.0.A	NF2L2	basic leucine zipper (bZIP) factors	Jun-related factors	NF-E2-like factors
NFAC1_HUMAN.H11MO.0.B	NFAC1	Rel homology region (RHR) factors	NFAT-related factors	NA
NFAC2_HUMAN.H11MO.0.B	NFAC2	Rel homology region (RHR) factors	NFAT-related factors	NA
NFAC3_HUMAN.H11MO.0.B	NFAC3	Rel homology region (RHR) factors	NFAT-related factors	NA
NFAC4_HUMAN.H11MO.0.C	NFAC4	Rel homology region (RHR) factors	NFAT-related factors	NA
M07813_2.00	NFE2	basic leucine zipper (bZIP) factors	Jun-related factors	NF-E2-like factors
NFE2_HUMAN.H11MO.0.A	NFE2	basic leucine zipper (bZIP) factors	Jun-related factors	NF-E2-like factors
NFIA_HUMAN.H11MO.0.C	NFIA	SMAD/NF-1 DNA-binding domain factors	nuclear factor 1	NA
MA1643.1	NFIB	SMAD/NF-1 DNA-binding domain factors	nuclear factor 1	NA
M08164_2.00	NFIC	SMAD/NF-1 DNA-binding domain factors	nuclear factor 1	NA
MA0161.2	NFIC	SMAD/NF-1 DNA-binding domain factors	nuclear factor 1	NA
NFIC_HUMAN.H11MO.0.A	NFIC	SMAD/NF-1 DNA-binding domain factors	nuclear factor 1	NA
MA0025.2	NFIL3	basic leucine zipper (bZIP) factors	C/EBP-related	PAR factors
NFKB1_HUMAN.H11MO.1.B	NFKB1	Rel homology region (RHR) factors	NF-kappaB-related factors	NF-kappaB p50 subunit-like factors
NFKB2_HUMAN.H11MO.0.B	NFKB2	Rel homology region (RHR) factors	NF-kappaB-related factors	NF-kappaB p50 subunit-like factors
M08104_2.00	NFYA	heteromeric CCAAT-binding factors	heteromeric CCAAT-binding factors	NA
MA0060.3	NFYA	heteromeric CCAAT-binding factors	heteromeric CCAAT-binding factors	NA
NFYA_HUMAN.H11MO.0.A	NFYA	heteromeric CCAAT-binding factors	heteromeric CCAAT-binding factors	NA
M08178_2.00	NFYB	heteromeric CCAAT-binding factors	heteromeric CCAAT-binding factors	NA
MA0502.2	NFYB	heteromeric CCAAT-binding factors	heteromeric CCAAT-binding factors	NA
NFYB_HUMAN.H11MO.0.A	NFYB	heteromeric CCAAT-binding factors	heteromeric CCAAT-binding factors	NA
MA1644.1	NFYC	heteromeric CCAAT-binding factors	heteromeric CCAAT-binding factors	NA
NFYC_HUMAN.H11MO.0.A	NFYC	heteromeric CCAAT-binding factors	heteromeric CCAAT-binding factors	NA
MA1645.1	NKX2-2
MA0063.2	NKX2-5
NKX21_HUMAN.H11MO.0.A	NKX21	homeo domain factors	NK-related factors	NK-2.1
NKX25_HUMAN.H11MO.0.B	NKX25	homeo domain factors	NK-related factors	NK-4
NKX28_HUMAN.H11MO.0.C	NKX28	homeo domain factors	NK-related factors	NK-2.2
NKX31_HUMAN.H11MO.0.C	NKX31	homeo domain factors	NK-related factors	NK-3
NKX32_HUMAN.H11MO.0.C	NKX32	homeo domain factors	NK-related factors	NK-3
